date,checkpoint_hour,elapsed_min,base_forecast_time_local,base_forecast_f,checkpoint_obs_time_local,checkpoint_temp_f,hf_obs_time_local,hf_temp_f,expected_hf_temp_f,trajectory_deviation_f,frozen_coef,frozen_intercept_f,shadow_adjustment_f,shadow_forecast_f,production_enabled,actual_cli_high_f,base_abs_error_f,shadow_abs_error_f,shadow_gain_f,scored
2026-08-23,12,40,2026-08-23T12:31:52.613230-07:00,113.22967015419164,2026-08-23T11:51:00-07:00,107.06,2026-08-23T12:40:00,109.4,108.58230319424317,0.8176968057568388,0.1373692584358598,0.052826207982335,0.1651526118145233,113.39482276600616,False,113.0,0.2296701541916377,0.3948227660061576,-0.1651526118145199,True
2026-08-24,12,40,2026-08-24T12:19:05.062886-07:00,107.33808838212464,2026-08-24T11:51:00-07:00,98.96,2026-08-24T12:40:00,100.4,101.43206854721753,-1.0320685472175055,0.1373692584358598,0.052826207982335,-0.0889482830039088,107.24914009912072,False,108.0,0.6619116178753615,0.7508599008792771,-0.08894828300391566,True
